0/0,syst
170/96,auto
170/97,gess
171/9,gal_
171/10,hum_
171/11,em_k
171/12,mjb_
171/13,yag_
171/14,cho_
171/35,deji
171/36,atm_
172/62,n_bu
172/63,chi_
172/64,chi_
172/65,chi_
172/75,th1 
172/76,th2 
172/77,th3 
172/78,th4 
172/79,th5 
172/80,ice 
172/81,hi1 
172/82,hi2 
172/83,hi3 
172/84,kyo 
173/40,cim_
173/41,cim_
173/42,den 
173/43,n_fi
173/44,atm_
173/45,atm_
173/46,cim_
173/47,ki_k
173/54,mds_
173/55,kks_
173/56,mtn_
173/57,bibi
173/58,kak_
173/90,i_si
181/89-91,Chocobo Race
181/92,Merit Point
181/99,inp_
181/101,odin
181/108,trod
181/109,trod
181/110,trod
181/111,trod
181/124,la_p
181/125,odin
181/126,alex
183/56,"Chocobo Races"
183/58,"Chocobo-Rennen"
183/59,"3... 2... 1... START"
183/60,"GOAL"
183/61,"Complete"
183/65,dojy
183/66,suij
184/49,luz_
184/50,Chocobo Race
184/51,yag_
184/70,inp_
184/103,odn_
184/104,odn_
184/120,ric_
184/121,ric_
184/122,ric_
184/123,ric_
184/124,odn_
184/125,odn_
184/126,odn_
185/2,odn_
185/3,la_k
185/5,Tauri (Triclip)
185/6,Tauri (Back Swish)
185/7,Tauri (Mow)
185/8,Tauri (Frightful Roar)
185/9,Tauri (Mortal Ray)
185/10,Tauri (Unblessed Armor)
185/20,odn_
185/22,buka
185/29,kr_h
185/32,vmp_
185/33,vmp_
185/34,meik
185/68,vmp_
185/69,vmp_
185/70,vmp_
185/71,mei_
185/72,vmp_
185/73,mjn_
185/74,mjn_
185/75,mjn_
185/76,mjn_
185/77,mjn_
185/120,odn_
185/121,odn_
186/30,mjn_
186/31,luz_
186/32,odn_
186/38,frt_
186/39,tenj
186/40,enjy
186/41,mjn_
186/42,luz_
186/43,alex
186/44,ruzf
186/45,aut_
186/46,aut_
186/47,nas_
186/48,odn_
186/49,odn_
186/50,odn_
186/64,"A l'attaque!"
186/65,"Zum Angriff!"
186/72,mon_
186/73,btl_
186/74,alex
186/75,lzf_
186/106,ship
187/0,Alexander (Divine Spear)
187/1,Alexander (Gospel of the Lost)
187/8,Alexander (Perfect Defense)
187/32,Alexander (Divine Judgment)
187/42,Alexander (Void of Repentance)
187/50,razf
187/78,tr_h
187/82,gob_
187/83,gob_
187/84,gob_
187/85,gob_
187/86,gob_
187/87,gob_
187/88,gob_
187/89,gob_
187/90,gob_
187/91,gob_
187/92,gob_
187/93,alex
187/94,alex
188/12,gada
188/18,odn_
188/19,alex
188/20,alex
188/21,odn_
188/29,rzf_
188/30,nasy
188/31,mri_
188/32,sose
188/33,alex
188/34,nas_
188/35,odn_
188/36,sui_
188/41,avz_
188/42,od_v
188/58,aras
188/59,el_k
188/60,mri_
188/61,alex
188/62,odn_
188/63,alex
188/64,odn_
188/65,ef_k
189/14,Djinn (????)
189/15,Djinn (Berserk)
189/16,Djinn (Penumbral Impact)
189/17,Djinn (Dark Wave)
189/18,Djinn (Nocturnal Combustion)
189/40,drk2
191/41,atms
191/42,myc2
195/95,Pixie (Zephyr Arrow)
195/96,Pixie (Lethe Arrows)
195/97,Pixie (Spring Breeze)
195/98,Pixie (Summer Breeze)
195/99,Pixie (Autumn Breeze)
195/100,Pixie (Winter Breeze)
195/101,Pixie (Cyclonic Turmoil)
195/102,Pixie (Cyclonic Torrent)
195/103,muk2
195/120,tig2
196/53,sign
197/65-73;77;86-87,
197/114,dra_
197/115,dra_
197/116,km_h
197/117,km_d
197/118,km2_
197/119,km2_
197/120,yag_
197/121,yag_
197/122,m_sp
197/123,m_sp
197/124,ak_m
198/38,Cobraclaw Buchzvotch (Tornado Edge)
198/39,
198/40,
198/41,
198/42,
198/43,
198/105,
198/106,
199/36;74;97-109,
200/70,
200/119,
200/120,
200/121,
200/122,
200/123,
200/124,
200/127,
201/0-10;56-74;79-102;107-108;111-114;117-118;120-127,
202/0-10;12-15;17-25;30-38;42-43;49-68;79-93;99-108;114-127,
203/0-23;28;31;34;37;45-74;111-120,
204/3-6;14-16;20;38-40;47;51-61;78-83,
207/12,
207/13,
207/14,
207/15,
207/16,
207/17,
207/18,
207/19,
207/20,
207/21,
207/22,
207/23,
207/24,
207/25,
207/26,
209/115-124,
211/9,Chocobo Race
211/10,"Chocobo Races"
211/11,"Course de chocobos"
211/12,"Chocobo-Rennen"
211/13,
211/14,
211/15,
211/16,
211/17,
211/18,Ixion (????)
211/19,Ixion (Lightning Spear)
211/20,Ixion (Wrath of Zeus)
211/21,Shooting mini-game
211/26,
211/27,
211/28,Ixion (Rampant Stance)
211/29,
211/30,
211/31,
211/32,
211/33,
211/34,Ixion (Damsel Memento)
211/35,Ixion (????)
211/36,Ixion (????)
211/37,Ixion (????)
211/38,
211/109,
211/110,
211/111,
211/112,
211/113,
211/114,
211/115,
211/116,
211/117,
211/118,
211/119,
211/120,
211/121,
211/122,
211/123,
211/124,
211/125,
211/126,
211/127,
212/0-16;24-26,
212/27,Shining Summer Samba
212/28,Lovely Miracle Waltz
212/29,Neo Crystal Jig
212/30,Super Crusher Jig
212/31-32;45-127,
213/32;88-90;96-98,
213/99,Tzee Xicu the Manifest (Vorticose Sands)
214/5-8;10;55-56;60,
215/17;104-105;109;124-126,
216/0;86-90;125-127,
217/15-16;23-24;29,
218/123,
219/53-55;92-102;105-108,
220/39;45-46;84-87,
221/43;125,
222/0-1;12-16;21-23;25-26;29-30;32;35-41;88;120-122,
222/124,Level Up (monster)
222/125-127,
223/0-3;39-42;56-59;67-74,
223/82,Lilisette (Dancer's Fury)
223/83,Lilisette (Whirling Edge)
223/108,cat_
223/109,ahrm
223/110,Lilisette (Thorned Stance)
223/111,Lilisette (Senseual Dance)
223/112,
223/113,
223/115,
223/116,
224/21,
224/24,Lady Lilith's throne
224/27-32,
224/34,Light skillchain
224/35-36,
224/37,Tachi: Kaiten
224/53-55;63-83,
225/6,
225/7,
225/8,Excenmille (Stag Cry)
225/9,Excenmille (Stag's Charge)
225/10,
225/34,
225/122,Ring
225/123-127,
226/37-38;51,
230/30;91-102,
231/48-51;65-66;69-76,
234/113-127,
235/0-2,
238/39-45;48-58;60-73;75-79;84;92-94,
239/15-32;36-37;50-53,
239/54,Aquila (Altair Bullet)
239/56;63;65;67;72;83-89,
239/90,Haudrale (Savage Swordhand)
239/92,Flowers
239/93,Xarcabard Map
239/94;96-99;101-103;105-106;108-115;117-121;123-126,
240/1;104-105,
241/74-77;90-91,
241/95,Lehko Habhoka (Inspirit)
241/96,Lehko Habhoka (Debonair Rush)
241/97,Lehko Habhoka (Iridal Pierce)
241/98,Lehko Habhoka (Lunar Revolution)
241/99-110,
243/107-114,
245/38,
245/40,Excenmille (Orcsbane)
245/41,Excenmille (Gyre Slash)
245/45-47,
246/70,Red Weakness "!!"
246/71,Yellow Weakness "!!"
246/72,Blue Weakness "!!"
246/73,
246/74,Maxcimille (Great Divide)
246/122,
246/123,
247/23,Robel-Akbel (Quietus Sphere)
247/47-49,
249/45;73-115;117-127,
250/0-1;3-7;18-53;55-61;81-87,
254/16-17;53-55;59;70-71;73;115-127,
255/6-9;44-45,
256/24,
257/72,
258/31-39;53-55;63-86;108,
259/18-28;71-72,
261/42-43;47-49;51-54,
261/55,Lilith Ascendant (melee attack)
261/58,
261/59,Lilith Ascendant (Dark Flare)
261/60,Lilith Ascendant (Dark Tornado)
261/61,Lilith Ascendant (Dark Quake)
261/62,Lilith Ascendant (Dark Burst)
261/63,Lilith Ascendant (Dark Sun)
261/64-65,
261/101,Lilith Ascendant (Dark Freeze)
261/102,Lilith Ascendant (Dark Flood)
261/112-114;120-121,
262/2,Lilith Ascendant (Dark Moon)
262/17-20,
262/21,Shinryu (Gyre Charge)
262/31,
262/32,Shinryu (Cosmic Breath)
262/47,Shinryu (Proto Star)
262/48,Shinryu (Supernova)
262/51,
262/54-60,Shinryu (melee attack)
262/61,Shinryu (Cataclysmic Vortex)
262/62,Shinryu (Mighty Guard)
262/63,Shinryu (Atomic Ray)
262/64-71,
262/72,Shinryu (Dark Matter)
262/73-77;79-83;85-91;94-96;98-100;102-104;108-109;113-114;118-127,
263/112-118,
264/6;8-13;17-18,
265/12-14;17-19;21-24;35-99,
266/70;111-113,
266/121,White Weakness "!!"
267/2-15;29;59-60;68-75;89-98;124,
268/23;26-30;32-36;45-51,
272/75;77;91-100;103-104;106-119,
273/68-69,
277/2-4;14-26;41-44,
278/89-120,
279/1-8;107-108;123-127,
280/0-1,
286/8-13;113-127,
287/0-15,
